geonameid,name,latitude,longitude,feature_code,country_code,population
2057215,Yuendumu,-22.25585,131.79286,PPL,AU,704
2057237,Youngs,-35.01667,117.51667,PPL,AU,527
2057273,Yorketown,-35.01845,137.60486,PPL,AU,936
2057277,York,-31.88809,116.7678,PPL,AU,2472
2057293,Yirrkala,-12.25492,136.88995,PPL,AU,851
2057532,Yankalilla,-35.45705,138.34982,PPL,AU,895
2057575,Yanchep,-31.54678,115.63171,PPLX,AU,8571
2057614,Yallingup,-33.64592,115.03514,PPL,AU,1034
2057633,Yalgoo,-28.34356,116.68253,PPL,AU,672
2057705,Wyndham,-15.4869,128.12428,PPL,AU,941
2057751,Wundowie,-31.76163,116.3799,PPL,AU,1306
2057756,Wudinna,-33.05013,135.46381,PPL,AU,738
2057800,Wooroloo,-31.8038,116.31311,PPLX,AU,2618
2057897,Woodville,-34.877,138.54291,PPLX,AU,2915
2057904,Woodside,-34.95433,138.87901,PPL,AU,2508
2058005,Wongan Hills,-30.89294,116.71925,PPL,AU,896
2058265,Wilmington,-32.64989,138.09814,PPL,AU,560
2058273,Willunga,-35.27127,138.55417,PPL,AU,2269
2058304,Williamstown,-34.6721,138.89108,PPL,AU,2689
2058312,Williams,-33.02803,116.87923,PPL,AU,912
2058325,Willaston,-34.5864,138.74124,PPL,AU,3292
2058430,Whyalla,-33.03268,137.56483,PPLA2,AU,3623
2058594,West Toodyay,-31.53333,116.41667,PPL,AU,502
2058682,Wembley,-31.93308,115.81783,PPLX,AU,12061
2058708,Wellard,-32.26667,115.83333,PPLX,AU,8849
2058710,Welland,-34.90366,138.55841,PPL,AU,848
2058823,Wayville,-34.94468,138.59132,PPLX,AU,1788
2058897,Waterloo Corner,-34.71667,138.58333,PPLX,AU,1202
2058921,Wasleys,-34.46992,138.68562,PPL,AU,743
2059047,Waroona,-32.84323,115.92201,PPL,AU,2858
2059100,Warburton,-26.1346,126.57681,PPL,AU,608
2059124,Wanneroo,-31.75,115.8,PPLX,AU,12113
2059245,Walliston,-31.99683,116.0743,PPLX,AU,882
2059263,Wallaroo,-33.93881,137.63365,PPL,AU,3529
2059362,Waikerie,-34.18178,139.98552,PPL,AU,2701
2059371,Wagin,-33.30894,117.34328,PPL,AU,1433
2059372,Waggrakine,-28.71883,114.63924,PPLX,AU,2330
2059436,Virginia,-34.6663,138.56027,PPLX,AU,1802
2059470,Victor Harbor,-35.55042,138.62154,PPL,AU,4520
2059507,Vasse,-33.69337,115.2678,PPL,AU,2325
2059539,Utakarra,-28.78333,114.65,PPLX,AU,1346
2059577,Uraidla,-34.95596,138.74445,PPL,AU,549
2059581,Upper Swan,-31.76953,116.0273,PPLX,AU,560
2059582,Upper Sturt,-35.01667,138.68333,PPLX,AU,937
2059589,Unley,-34.95,138.6,PPLX,AU,3929
2059689,Two Wells,-34.59327,138.51367,PPL,AU,2515
2059837,Tumby Bay,-34.3773,136.10065,PPL,AU,1696
2059873,Truro,-34.40869,139.12743,PPL,AU,520
2059895,Trigg,-31.86939,115.7571,PPL,AU,2664
2060087,Toodyay,-31.54977,116.46743,PPL,AU,1365
2060384,Thebarton,-34.91667,138.56667,PPL,AU,1409
2060436,Tennant Creek,-19.6497,134.19147,PPL,AU,3080
2060497,Tea Tree Gully,-34.81667,138.73333,PPL,AU,3188
2060604,Tanunda,-34.52336,138.95982,PPL,AU,4524
2060626,Tanami,-19.98333,129.71667,PPL,AU,517
2060703,Tailem Bend,-35.25226,139.45546,PPL,AU,1661
2060771,Swan View,-31.88333,116.05,PPLX,AU,7735
2060785,Swanbourne,-31.96878,115.7673,PPLX,AU,3965
2060852,Summertown,-34.95947,138.73132,PPL,AU,670
2060886,Subiaco,-31.9485,115.8268,PPLX,AU,9690
2060898,Sturt,-35.02303,138.55476,PPLX,AU,2022
2060937,Streaky Bay,-32.79554,134.20928,PPL,AU,1449
2060951,Strathalbyn,-35.25979,138.89247,PPL,AU,6348
2060993,Stoneville,-31.8783,116.17072,PPLX,AU,2321
2061039,Stirling,-35.0022,138.71956,PPL,AU,2867
2061115,Stansbury,-34.91108,137.79903,PPL,AU,640
2061144,Springton,-34.70744,139.08929,PPL,AU,644
2061224,Spearwood,-32.10534,115.77797,PPLX,AU,9872
2061261,South Perth,-31.98333,115.86667,PPLX,AU,12596
2061298,Southern Cross,-31.22677,119.32376,PPL,AU,703
2061341,Solomontown,-33.1853,138.02364,PPL,AU,1464
2061399,Smoky Bay,-32.37844,133.93402,PPL,AU,606
2061418,Smithfield,-34.68333,138.68333,PPLX,AU,2418
2061676,Denham,-25.92679,113.53327,PPL,AU,723
2061735,Serpentine,-32.36051,115.97723,PPLX,AU,2266
2061745,Semaphore,-34.83934,138.48228,PPLX,AU,2727
2061758,Seaton,-34.9,138.51667,PPLX,AU,10208
2061769,Seaford,-35.1898,138.47589,PPLX,AU,4316
2061840,Scarborough,-31.89578,115.76431,PPLX,AU,17605
2061845,Sawyers Valley,-31.90235,116.20065,PPLX,AU,956
2062013,Salisbury,-34.76667,138.63333,PPL,AU,8136
2062057,Safety Bay,-32.30463,115.74213,PPLX,AU,7121
2062151,Roxby Downs,-30.56305,136.89546,PPL,AU,4616
2062216,Roseworthy,-34.53397,138.75023,PPL,AU,965
2062259,Roleystone,-32.11458,116.0706,PPLX,AU,6425
2062270,Roelands,-33.28333,115.81667,PPL,AU,792
2062276,Roebourne,-20.77229,117.14648,PPL,AU,989
2062338,Rockingham,-32.27682,115.72978,PPLA2,AU,15312
2062381,Robe,-37.16387,139.76026,PPL,AU,1096
2062391,Riverton,-34.15507,138.74818,PPL,AU,994
2062428,Maida Vale,-31.95187,116.02764,PPLX,AU,4366
2062459,Reynella,-35.09372,138.53082,PPL,AU,4667
2062660,Ravensthorpe,-33.58303,120.04688,PPL,AU,516
2062745,Quorn,-32.34676,138.04176,PPL,AU,1190
2062766,Quindalup,-33.6356,115.14899,PPL,AU,1302
2062829,Quairading,-32.01197,117.39554,PPL,AU,635
2062944,Prospect,-34.88241,138.5933,PPL,AU,14584
2063023,Port Willunga,-35.26181,138.46436,PPLX,AU,1629
2063024,Port Wakefield,-34.1848,138.14531,PPL,AU,654
2063030,Port Pirie,-33.19176,138.01746,PPLA2,AU,13896
2063031,Port Noarlunga,-35.14802,138.47099,PPLX,AU,2861
2063034,Moonta Bay,-34.05,137.56667,PPL,AU,2279
2063036,Port Lincoln,-34.72625,135.87442,PPL,AU,13810
2063041,Port Hughes,-34.08333,137.55,PPL,AU,568
2063042,Port Hedland,-20.31215,118.61059,PPL,AU,15298
2063051,Port Elliot,-35.53017,138.67922,PPL,AU,2064
2063054,Port Broughton,-33.6007,137.93597,PPL,AU,1214
2063055,Port Augusta West,-32.48611,137.75833,PPL,AU,4380
2063056,Port Augusta,-32.49597,137.77281,PPL,AU,12788
2063059,Port Adelaide,-34.8462,138.50302,PPLX,AU,1197
2063191,Plympton,-34.962,138.55496,PPLX,AU,4682
2063293,Pinjarra,-32.6298,115.87351,PPL,AU,4746
2063304,Pingelly,-32.53252,117.0824,PPL,AU,795
2063432,Pickering Brook,-32.04763,116.1985,PPLX,AU,576
2063518,Peterborough,-32.97205,138.84073,PPL,AU,1530
2063523,Perth,-31.95224,115.8614,PPLA,AU,2309338
2063597,Penfield,-34.69503,138.64006,PPL,AU,792
2063604,Pemberton,-34.44311,116.03689,PPL,AU,1016
2063705,Pearce,-31.66667,116.01667,PPL,AU,2511
2063817,Parkerville,-31.87472,116.138,PPLX,AU,2235
2063845,Parap,-12.43054,130.84142,PPLX,AU,2925
2064063,Orroroo,-32.73438,138.61392,PPL,AU,628
2064155,Onslow,-21.63764,115.11221,PPL,AU,1157
2064173,One Tree Hill,-34.7,138.76667,PPLX,AU,1072
2064258,O’Halloran Hill,-35.06667,138.55,PPLX,AU,2613
2064308,Oakbank,-34.9834,138.84528,PPL,AU,811
2064340,Nuriootpa,-34.46825,138.99767,PPL,AU,6213
2064403,Nullagine,-21.88972,120.1114,PPL,AU,2587
2064439,Norton Summit,-34.92289,138.72488,PPL,AU,510
2064510,North Fremantle,-32.03333,115.75,PPLX,AU,3221
2064512,Northfield,-34.84979,138.6255,PPLX,AU,4729
2064526,North Dandalup,-32.51676,115.97193,PPL,AU,682
2064546,North Beach,-31.86298,115.75624,PPLX,AU,3290
2064549,Northampton,-28.34994,114.63821,PPL,AU,816
2064550,Northam,-31.64932,116.67423,PPL,AU,6517
2064553,Norseman,-32.19769,121.77873,PPL,AU,640
2064565,Normanville,-35.44623,138.3213,PPL,AU,1589
2064655,Old Noarlunga,-35.18209,138.50138,PPLX,AU,1407
2064735,Nhulunbuy,-12.18165,136.77841,PPL,AU,3350
2064768,Newman,-23.35644,119.73553,PPL,AU,12316
2064874,Nedlands,-31.98184,115.8073,PPLX,AU,10949
2064915,Narrogin,-32.93282,117.17763,PPL,AU,4245
2064970,Napperby,-33.15737,138.11644,PPL,AU,646
2065001,Nannup,-33.97874,115.7646,PPL,AU,915
2065078,Nairne,-35.0345,138.91154,PPL,AU,4926
2065112,Myponga,-35.40403,138.47122,PPL,AU,709
2065115,Mylor,-35.04303,138.759,PPL,AU,1091
2065176,Murray Bridge,-35.11986,139.27345,PPL,AU,14491
2065329,Mundijong,-32.29217,115.98564,PPLX,AU,1200
2065337,Mundaring,-31.9021,116.16757,PPLX,AU,2972
2065390,Mullewa,-28.53952,115.51173,PPL,AU,516
2065505,Muchea,-31.58214,115.97161,PPL,AU,930
2065538,Mount Torrens,-34.87546,138.95863,PPL,AU,686
2065552,Mount Pleasant,-34.77487,139.04915,PPL,AU,992
2065578,Mount Magnet,-28.06479,117.84904,PPL,AU,660
2065594,Mount Isa,-20.72523,139.49727,PPLA2,AU,18317
2065602,Mount Helena,-31.87606,116.21025,PPLX,AU,3070
2065642,Mount Compass,-35.34685,138.62032,PPL,AU,1397
2065665,Mount Barker,-35.06667,138.86667,PPL,AU,21554
2065666,Mount Barker,-34.63084,117.66606,PPL,AU,2682
2065710,Mosman Park,-32.00538,115.7638,PPL,AU,8566
2065740,Morphett Vale,-35.13333,138.51667,PPLX,AU,24002
2065779,Morawa,-29.21343,116.00791,PPL,AU,596
2065836,Moora,-30.64003,116.00365,PPL,AU,1819
2065843,Moonta,-34.06841,137.59076,PPL,AU,608
2066041,Modbury,-34.83333,138.68333,PPLX,AU,5306
2066052,Moana,-35.19394,138.47614,PPLX,AU,2544
2066066,Mitcham,-34.97892,138.62184,PPLA2,AU,1792
2066158,Minlaton,-34.77101,137.59576,PPL,AU,1060
2066283,Millendon,-31.80775,116.0367,PPL,AU,515
2066322,Milang,-35.40781,138.97121,PPL,AU,849
2066338,Midland,-31.88909,116.0107,PPLX,AU,6105
2066356,Middleton,-35.51047,138.70377,PPL,AU,1122
2066358,Middle Swan,-31.85,116.01667,PPLX,AU,2841
2066472,Merredin,-31.48094,118.27448,PPL,AU,2851
2066511,Meningie,-35.68637,139.34007,PPL,AU,1083
2066591,Meekatharra,-26.59524,118.49393,PPL,AU,675
2066608,Medina,-32.23406,115.79901,PPLX,AU,2333
2066626,Meadows,-35.18021,138.7625,PPL,AU,1342
2066653,McMinns Lagoon,-12.54774,131.07625,PPLX,AU,834
2066679,McLaren Vale,-35.21895,138.54326,PPLX,AU,3754
2066680,McLaren Flat,-35.21667,138.58333,PPLX,AU,1492
2066756,Maylands,-31.93097,115.89486,PPL,AU,13199
2066808,Mataranka,-14.92127,133.065,PPL,AU,890
2066954,Marion,-35.00423,138.55313,PPL,AU,3783
2066957,Marino,-35.04468,138.51236,PPLX,AU,2088
2066981,Margaret River,-33.95504,115.07599,PPL,AU,7571
2067029,Marble Bar,-21.17067,119.74441,PPL,AU,927
2067070,Mannum,-34.91529,139.30325,PPL,AU,2679
2067074,Manning,-32.01594,115.86714,PPLX,AU,4007
2067086,Manjimup,-34.24122,116.14564,PPL,AU,4291
2067089,Maningrida,-12.0483,134.22941,PPL,AU,2325
2067119,Mandurah,-32.5269,115.7217,PPLA2,AU,90306
2067167,Mallala,-34.4374,138.50987,PPL,AU,866
2067214,Maitland,-34.37386,137.67333,PPL,AU,1222
2067230,Mahogany Creek,-31.9056,116.13672,PPLX,AU,878
2067260,Maddington,-32.05,115.98333,PPLX,AU,12419
2067307,Macclesfield,-35.17182,138.83589,PPL,AU,1343
2067333,Lyndoch,-34.60124,138.89094,PPL,AU,1966
2067412,Lower Chittering,-31.58333,116.11667,PPL,AU,2048
2067565,Lobethal,-34.90455,138.87477,PPL,AU,2174
2067621,Littlehampton,-35.04225,138.86423,PPL,AU,2062
2067760,Lewiston,-34.60449,138.59125,PPL,AU,3009
2067792,Leonora,-28.88509,121.33074,PPL,AU,1267
2067797,Lenswood,-34.91822,138.83261,PPL,AU,534
2067890,Laverton,-28.62531,122.3994,PPL,AU,2121
2067903,Laura,-33.1852,138.30228,PPL,AU,679
2067930,Largs Bay,-34.82582,138.48619,PPLX,AU,4015
2068013,Lake Grace,-33.10317,118.46463,PPL,AU,544
2068079,Kwinana,-32.23013,115.78128,PPL,AU,30433
2068110,Kununurra,-15.77825,128.74208,PPL,AU,4515
2068340,Kojonup,-33.8305,117.15946,PPL,AU,1235
2068414,Kingston South East,-36.83073,139.8522,PPL,AU,1306
2068416,Kingston Park,-35.03825,138.51635,PPL,AU,519
2068429,Kingscote,-35.6559,137.6393,PPL,AU,1915
2068483,Kimba,-33.14164,136.41875,PPL,AU,666
2068530,Keysbrook,-32.43333,115.96667,PPLX,AU,617
2068542,Keswick,-34.94178,138.57459,PPLX,AU,746
2068547,Kersbrook,-34.78305,138.85091,PPL,AU,1116
2068569,Kenwick,-32.03333,115.96667,PPLX,AU,5648
2068589,Kendenup,-34.48213,117.62533,PPL,AU,949
2068594,Kelmscott,-32.12434,116.0259,PPLX,AU,10575
2068612,Kellerberrin,-31.63182,117.71983,PPL,AU,962
2068655,Katherine,-14.46517,132.26347,PPL,AU,5980
2068661,Katanning,-33.68787,117.5584,PPL,AU,3655
2068688,Karoonda,-35.09446,139.89342,PPL,AU,505
2068693,Karnup,-32.41894,115.79267,PPLX,AU,1351
2068734,Kapunda,-34.33871,138.91644,PPL,AU,2911
2068751,Kanmantoo,-35.07005,139.01271,PPL,AU,710
2068782,Kangarilla,-35.14881,138.6604,PPLX,AU,881
2068823,Kalgoorlie,-30.74614,121.4742,PPL,AU,29072
2068827,Kalgan,-34.88472,118.01306,PPLX,AU,805
2068835,Kalbarri,-27.7105,114.16505,PPL,AU,2602
2068856,Kadina,-33.96495,137.71634,PPL,AU,2739
2069163,Jarrahdale,-32.3358,116.05951,PPLX,AU,1171
2069194,Jamestown,-33.20531,138.60503,PPL,AU,1610
2069326,Ironbank,-35.05,138.68333,PPL,AU,504
2069375,Ingle Farm,-34.83333,138.63333,PPLX,AU,8679
2069566,Hovea,-31.88333,116.1,PPLX,AU,595
2069573,Houghton,-34.82869,138.7615,PPL,AU,511
2069646,Hope Valley,-34.83333,138.7,PPLX,AU,8223
2069647,Hopetoun,-33.95057,120.12635,PPL,AU,801
2069762,Hindmarsh Island,-35.51014,138.86762,PPL,AU,1341
