geonameid,name,latitude,longitude,feature_class,feature_code,country_code,population
2803474,Zwota,50.35103,12.42241,P,PPL,DE,1541
2803476,Zwönitz,50.63027,12.80999,P,PPLA4,DE,11547
2803489,Zwochau,51.46467,12.26844,P,PPL,DE,1167
2803515,Zwingenberg,49.72389,8.61084,P,PPL,DE,7291
2803516,Zwingenberg,49.41917,9.04056,P,PPLA4,DE,750
2803537,Zwiesel,49.01693,13.23765,P,PPL,DE,10327
2803545,Zwiefalten,48.23396,9.46232,P,PPLA4,DE,2148
2803560,Zwickau,50.72724,12.48839,P,PPLA3,DE,98796
2803588,Zwenkau,51.21872,12.33008,P,PPL,DE,8905
2803604,Zweiflingen,49.25639,9.51806,P,PPLA4,DE,1716
2803606,Zweifelscheid,50.03333,6.25,P,PPLA4,DE,44
2803620,Zweibrücken,49.24686,7.36977,P,PPLA3,DE,35221
2803642,Zuzenhausen,49.29636,8.82254,P,PPLA4,DE,2083
2803651,Züssow,53.97709,13.54855,P,PPL,DE,1274
2803655,Zusmarshausen,48.40014,10.59917,P,PPL,DE,6384
2803664,Züsch,49.65,7,P,PPLA4,DE,681
2803667,Zusamaltheim,48.53104,10.63562,P,PPLA4,DE,1290
2803670,Zurow,53.86429,11.61434,P,PPL,DE,1421
2803723,Zülpich,50.69447,6.65414,P,PPL,DE,20208
2803776,Zschortau,51.4793,12.35893,P,PPL,DE,2412
2803781,Zschornewitz,51.71585,12.39998,P,PPL,DE,2936
2803786,Zschorlau,50.56667,12.65,P,PPLA4,DE,5944
2803798,Zschopau,50.74818,13.07691,P,PPL,DE,11705
2803823,Zscherndorf,51.61087,12.26755,P,PPL,DE,1852
2803824,Zscherben,51.46709,11.87058,P,PPL,DE,1600
2803825,Zscherben,51.33576,11.96969,P,PPLX,DE,1613
2803827,Zschepplin,51.5,12.6,P,PPLA4,DE,3373
2803848,Zschadrass,51.13828,12.81848,P,PPL,DE,3763
2803857,Zotzenheim,49.86667,7.96667,P,PPLA4,DE,646
2803870,Zossen,52.216,13.44909,P,PPLA4,DE,17138
2803874,Zöschingen,48.67365,10.32522,P,PPLA4,DE,743
2803875,Zöschen,51.35802,12.11652,P,PPL,DE,1074
2803879,Zörnigall,51.86997,12.75507,P,PPL,DE,991
2803882,Zornheim,49.89,8.22472,P,PPLA4,DE,3559
2803884,Zorneding,48.08433,11.82446,P,PPLA4,DE,8581
2803889,Zorge,51.63333,10.63333,P,PPLA4,DE,1230
2803891,Zörbig,51.62894,12.1174,P,PPL,DE,4052
2803892,Zorbau,51.19161,12.02278,P,PPL,DE,882
2803908,Zons,51.12364,6.84468,P,PPLX,DE,5452
