geonameid,name,latitude,longitude,feature_code,country_code,population
5881639,100 Mile House,51.64982,-121.28594,PPL,CA,1980
5881688,Fort St. James,54.45597,-124.26275,PPL,CA,1386
5881791,Abbotsford,49.05798,-122.25257,PPL,CA,141397
5881870,Aberdeen,50.65,-120.36667,PPLX,CA,12437
5882023,Acadia,50.97172,-114.05688,PPLX,CA,9915
5882134,Acton,43.62969,-80.04149,PPL,CA,9377
5882142,Acton Vale,45.65007,-72.56582,PPL,CA,7656
5882428,Adstock,46.05007,-71.08235,PPL,CA,2643
5882443,Advocate Harbour,45.33337,-64.77752,PPL,CA,826
5882534,Agassiz,49.23298,-121.76926,PPL,CA,6300
5882600,Agincourt North,43.80418,-79.27528,PPLX,CA,29113
5882725,Ahuntsic-Cartierville,45.56667,-73.66667,PPLX,CA,135336
5882799,Airdrie,51.30011,-114.03528,PPL,CA,90044
5882873,Ajax,43.85012,-79.03288,PPL,CA,119677
5882953,Aklavik,68.21913,-135.01071,PPL,CA,590
5883074,Albanel,48.88324,-72.44867,PPL,CA,1087
5883166,Alberton,46.81685,-64.06542,PPL,CA,1147
5883194,Albion,49.18751,-122.55687,PPLX,CA,12424
5883214,Albro Lake,44.68414,-63.58129,PPL,CA,8503
5883345,Alderwood,43.60348,-79.54604,PPLX,CA,12054
5883353,Aldouane,46.63343,-65.06544,PPL,CA,895
5883490,Alexandria,45.31317,-74.63665,PPL,CA,2906
5883712,Alix,52.40012,-113.18525,PPL,CA,774
5884051,Alliston,44.15011,-79.86635,PPL,CA,18809
5884083,Alma,48.55009,-71.6491,PPL,CA,29526
5884228,Altadore,51.01651,-114.10323,PPLX,CA,7290
5884235,Altamont,49.34078,-123.20253,PPLX,CA,1064
5884238,Alta Vista,45.38639,-75.65806,PPLX,CA,24726
5884260,Altona,49.10469,-97.55961,PPL,CA,4212
5884467,Amherst,45.83345,-64.19874,PPL,CA,9404
5884472,Amherstburg,42.10009,-83.09985,PPL,CA,13910
5884497,Amigo Beach,44.6919,-79.39317,PPL,CA,1545
5884588,Amos,48.56688,-78.11624,PPL,CA,17918
5885150,Ange-Gardien,45.35008,-72.93244,PPL,CA,2420
5885280,Angus,44.31681,-79.88295,PPLL,CA,10269
5885383,Anmore,49.31637,-122.85263,PPLA3,CA,2210
5885421,Annapolis Royal,44.74268,-65.51761,PPL,CA,530
5886139,Anten Mills,44.4815,-79.81722,PPL,CA,800
5886182,Antigonish,45.61685,-61.99858,PPL,CA,5003
5886456,Appleton,48.98322,-54.86486,PPL,CA,620
5886468,Applewood Park,51.04306,-113.925,PPLX,CA,6830
5886569,Arbour Lake,51.13472,-114.20278,PPLX,CA,10335
5886586,Arbutus Ridge,49.24966,-123.16934,PPLX,CA,15295
5886735,Arctic Bay,73.03752,-85.15057,PPLL,CA,841
5886787,Ardmore,48.63854,-123.46933,PPLL,CA,1014
5886795,Ardrossan,53.55014,-113.13529,PPL,CA,1238
5886971,Armdale,44.63593,-63.62636,PPLX,CA,16502
5887048,Armstrong,50.44979,-119.20235,PPL,CA,5323
5887214,Arnprior,45.43341,-76.34939,PPL,CA,8795
5887448,Arviat,61.10883,-94.05848,PPLL,CA,2864
5887470,Val-des-Sources,45.76678,-71.9324,PPL,CA,7088
5887531,Ashcroft,50.72372,-121.28207,PPL,CA,1558
5887798,Assiniboia,49.63336,-105.98446,PPL,CA,2389
5887916,Athabasca,54.71687,-113.28537,PPL,CA,2965
5887942,Athens,44.63341,-75.94936,PPL,CA,982
5888001,Atikokan,48.75667,-91.62409,PPL,CA,2753
5888118,Attawapiskat,52.92774,-82.41669,PPL,CA,1501
5888377,Aurora,44.00011,-79.46632,PPL,CA,55445
5888414,Austin Heights,49.25,-122.86667,PPLX,CA,3340
5888560,Avondale,45.02296,-64.12366,PPL,CA,584
5888681,Ayer's Cliff,45.16773,-72.04001,PPL,CA,1180
5888703,Aylesford,45.03345,-64.83209,PPL,CA,834
5888716,Aylmer,42.76679,-80.98302,PPL,CA,7492
5888737,Ayr,43.2834,-80.44968,PPL,CA,5383
5888759,Azilda,46.55008,-81.09975,PPL,CA,4663
5889156,Baddeck,46.10014,-60.74849,PPL,CA,818
5889167,Baden,43.4001,-80.6497,PPL,CA,4940
5889189,Badger,48.98325,-56.03154,PPL,CA,682
5889745,Baie-Comeau,49.21679,-68.14894,PPL,CA,21536
5890542,Baie-D'Urfé,45.41397,-73.91586,PPL,CA,3902
5891545,Baie Verte,49.93325,-56.18152,PPL,CA,1311
5891871,Baker Lake,64.32009,-96.02123,PPLL,CA,2061
5892190,Balgonie,50.48338,-104.26778,PPL,CA,1756
5892205,Ballantrae,44.03342,-79.2996,PPL,CA,3223
5892314,Balls Creek,46.15,-60.31118,PPL,CA,757
5892510,Bancroft,45.05752,-77.85702,PPL,CA,4065
5892532,Banff,51.17622,-115.56982,PPL,CA,8305
5892535,Banff Trail,51.0743,-114.11242,PPLX,CA,3805
5892600,Bankview,51.03333,-114.1,PPLX,CA,5125
5894033,Barraute,48.43349,-77.63279,PPL,CA,1180
5894164,Barrhead,54.13345,-114.40211,PPL,CA,4579
5894171,Barrie,44.40011,-79.66634,PPL,CA,147829
5894188,Barrière,51.18308,-120.1192,PPL,CA,1765
5894228,Barrington,43.56285,-65.56173,PPL,CA,3856
5894642,Bassano,50.78998,-112.46805,PPL,CA,1206
5894847,Batchelor Hills,50.71667,-120.36667,PPLX,CA,3685
